#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,latitude,location,longitude
,,0,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T10:30:00Z,57.779199039489264,measurement,noise,47.87006538331592,Rosenheim,12.10812161617503
,,0,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T11:00:00Z,57.89124239092635,measurement,noise,47.87006538331592,Rosenheim,12.10812161617503
,,0,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T11:30:00Z,58.14803312593475,measurement,noise,47.87006538331592,Rosenheim,12.10812161617503
,,0,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T12:00:00Z,57.79179584129905,measurement,noise,47.87006538331592,Rosenheim,12.10812161617503
,,0,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T12:30:00Z,58.09718916464581,measurement,noise,47.87006538331592,Rosenheim,12.10812161617503
,,0,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T13:00:00Z,57.75592614923494,measurement,noise,47.87006538331592,Rosenheim,12.10812161617503
,,0,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T13:30:00Z,57.96138603860104,measurement,noise,47.87006538331592,Rosenheim,12.10812161617503
,,0,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T14:00:00Z,58.80004926103429,measurement,noise,47.87006538331592,Rosenheim,12.10812161617503
,,1,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T10:30:00Z,65.028776601914,measurement,noise,48.113537653500785,Munich,11.57036508166779
,,1,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T11:00:00Z,64.92783669892532,measurement,noise,48.113537653500785,Munich,11.57036508166779
,,1,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T11:30:00Z,64.92261807041261,measurement,noise,48.113537653500785,Munich,11.57036508166779
,,1,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T12:00:00Z,65.06599985185403,measurement,noise,48.113537653500785,Munich,11.57036508166779
,,1,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T12:30:00Z,65.06471826992139,measurement,noise,48.113537653500785,Munich,11.57036508166779
,,1,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T13:00:00Z,65.04192456084408,measurement,noise,48.113537653500785,Munich,11.57036508166779
,,1,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T13:30:00Z,64.9749553636464,measurement,noise,48.113537653500785,Munich,11.57036508166779
,,1,2024-06-04T16:03:10.103677603Z,2024-06-11T16:03:10.103677603Z,2024-06-05T14:00:00Z,64.52156658622218,measurement,noise,48.113537653500785,Munich,11.57036508166779

